,name,price,total sales/mil,release date,developer,genre,rating,user rating,age,platforms,number of players
53,Stormrise,4.22,0.15,"Mar 24, 2009",Creative Assembly,Strategy/Real-Time/Sci-Fi/Sci-Fi/General,48.0,6.6,M,X360,Up to 8
54,Alien Syndrome,90.54,0.06,"Jul 24, 2007",Totally Games,Role-Playing/Action RPG/Action RPG,48.0,7.2,T,Wii,No Online Multiplayer
55,Element Space,18.96,,"Mar 24, 2020",Sixth Vowel,Strategy/Turn-Based/Tactics,48.0,-,T,PS4,No Online Multiplayer
56,Red Bull BC One,5.52,0.09,"Sep 16, 2008",Smack Down Productions,Action/Miscellaneous/Rhythm/Dancing/Dancing,48.0,5.3,E,DS,-
57,Cabela's Alaskan Adventures,13.34,,"Sep 19, 2006",FUN Labs,Sports/Individual/Nature/Hunting/Hunting,48.0,5.9,T,X360,No Online Multiplayer
58,Digimon World 4,,0.15,"Jun  2, 2005",Bandai,Role-Playing/Console-style RPG,48.0,6.4,E,PS2,1-4
59,Spyro: Enter the Dragonfly,,,"Nov  8, 2002",Equinoxe,Action/Platformer/3D,48.0,5.1,E,GameCube,1 Player
60,Carmageddon 3: TDR 2000,,,"Dec 14, 2000",Torus Games,Simulation/Driving/Car Combat/Car Combat/Vehicle/Combat,48.0,7.1,M,PC,1-8
61,Regular Show: Mordecai and Rigby in 8-Bit Land,None,0.01,"Oct 29, 2013",WayForward,Action Adventure/Fantasy/General/Fantasy,48.0,6.7,E10+,3DS,-
62,Brave: A Warrior's Tale,9.57,0.06,"Aug 10, 2009",Collision Studios,Action Adventure/Historic/General/Historic,48.0,4.6,E10+,Wii,-
63,SpongeBob Squarepants: The Yellow Avenger,41.38,0.92,"Mar  6, 2006",Tantalus,Action/General/General/Platformer/2D,48.0,5.1,E,PSP,1-2
64,MX Vs ATV: Supercross,11.43,,"Oct 28, 2014","Rainbow Studios, Nordic Games Publishing",Driving/Racing/Arcade/Motorcycle/Other/Motocross,48.0,4.8,E,X360,Up to 12
65,Dogz,,,"Nov 17, 2005",MTO,Miscellaneous/Virtual Life,48.0,6.3,E,Game Boy Advance,1-2
66,Freestyle Street Soccer,,,"Mar 25, 2004",Gusto Games,Sports/Traditional/Soccer/Arcade,48.0,8.0,T,GameCube,1-4
67,Paradise Cracked,,,"Sep 30, 2003",Mist Land,Role-Playing/PC-style RPG/PC-style RPG/Western-Style,48.0,7.8,M,PC,1 Player
68,Dragon Ball Z: Infinite World,None,0.36,"Dec  4, 2008",Dimps Corporation,Action/Fighting/3D,48.0,8.0,T,PS2,2  Online
69,Delta Force - Black Hawk Down: Team Sabre,7.92,,"Nov 21, 2006",Rebellion,Action/Shooter/First-Person/Tactical/Modern,48.0,7.4,T,PS2,32  Online
70,Eragon,17.96,0.14,"Nov 14, 2006",Stormfront Studios,Action/Role-Playing/Action Adventure/Fantasy/General/Fantasy/Beat-'Em-Up/Japanese-Style/3D,48.0,5.7,T,X360,No Online Multiplayer
71,The Dark Eye : Book of Heroes,None,,"Jun  9, 2020",Random Potion Oy,Role-Playing/General,48.0,2.0,-,PC,Up to 4
72,A Bastard's Tale,56.94,,"Oct  4, 2016",No Pest Productions,Action/Fighting/2D,48.0,5.5,T,PS4,-
73,IRONFALL Invasion,5.68,,"Feb 26, 2015",VD-DEV,Sci-Fi/Action/Shooter/Third-Person/Arcade,48.0,5.7,T,3DS,-
74,Harry Potter and the Half-Blood Prince,23.53,0.62,"Jun 30, 2009",EA Bright Light,Action Adventure/Fantasy/General/Fantasy,48.0,4.8,E,DS,-
75,Daylight,32.0,0.22,"Apr 29, 2014",Zombie Studios,Horror/Action Adventure/Horror/Survival,48.0,4.7,M,PS4,-
76,Past Cure,9.63,,"Feb  2, 2018",Phantom 8,Action/Action Adventure/General/Survival,48.0,6.4,M,PC,No Online Multiplayer
77,The Fight: Lights Out,None,0.59,"Nov  9, 2010",Coldwood Interactive,Action/Fighting/Fighting/3D/3D,48.0,8.1,T,PS3,-
78,Arkham Horror: Mother's Embrace,28.0,,"Mar 23, 2021",LuckyHammers,Miscellaneous/Board / Card Game,48.0,6.0,-,PC,No Online Multiplayer
79,Monster 4x4: Masters of Metal,,,"Nov 25, 2003",Ubisoft,Driving/Racing/Truck,48.0,8.3,E,PS2,1-2
80,"Crouching Tiger, Hidden Dragon",,,"Oct  9, 2003",Light Weight,Action/Beat-'Em-Up,48.0,4.5,T,PS2,-
81,Crazy Taxi: Catch a Ride,,,"Apr  9, 2003",Graphic State,Driving/Racing/Arcade,48.0,5.8,E,Game Boy Advance,1 Player
82,Legend of the North: Konung,,,"Dec 31, 2000","1C, 1C Entertainment",Role-Playing/General/General,48.0,6.0,T,PC,No Online Multiplayer
83,Army Men: Sarge's Heroes 2,,,"Nov 21, 2000",3DO,Action/General,48.0,6.9,T,PlayStation,1-2
84,Gravity Badgers,82.42,,"May 29, 2014",Wales Interactive,Action/General,48.0,-,E,WiiU,-
85,The Muppets: Movie Adventures,None,,"Sep  1, 2015",Virtual Toys,Action/General/Platformer/3D,48.0,6.7,E,PSV,No Online Multiplayer
86,Resident Evil: Operation Raccoon City,20.2,0.04,"May 18, 2012",Slant Six,Action/Action Adventure/Horror/Horror/Shooter/Third-Person/Arcade,48.0,4.2,M,PC,1-8
87,The Secrets of Atlantis,33.64,,"May 29, 2007","Atlantis Interactive Entertainment	, Atlantis Interactive Entertainment",Adventure/3D/First-Person/Fantasy,48.0,3.0,T,PC,1 Player
88,SNK vs. Capcom Card Fighters DS,25.98,0.1,"Apr 24, 2007",SNK Playmore,Strategy/Miscellaneous/Turn-Based/Card Battle/Card Battle,48.0,5.3,T,DS,No Online Multiplayer
89,MLB 2K13,16.47,,"Mar  5, 2013",Visual Concepts,Sports/Traditional/Team/Baseball/Sim/Sim,48.0,3.6,E,X360,2
90,Pro Cycling Manager Season 2008: Le Tour de France,14.46,,"Jun 27, 2008",Cyanide,Sports/Alternative/Individual/Biking/Biking,48.0,7.0,E,PC,-
91,The Guy Game,,,"Aug 31, 2004",Top Heavy Studios,Miscellaneous/Trivia / Game Show,48.0,6.5,M,PS2,1-4
92,SeaBlade,,,"Nov 20, 2002",Simon & Schuster,Action/Shooter/Third-Person/Sci-Fi,48.0,-,T,Xbox,1-4
93,Freestyle Motocross: McGrath Vs. Pastrana,,,"Nov  5, 2000","Z-Axis, Ltd.",Driving/Racing/Motorcycle/Motocross,48.0,-,E,PlayStation,-
94,Rock of the Dead,8.99,0.05,"Oct 19, 2010",Epicenter Studios,Action/Miscellaneous/Rhythm/Music/Music,48.0,4.8,T,X360,-
95,Alex Rider: Stormbreaker,5.45,0.07,"Oct  2, 2006",Altron,Action/Action Adventure/General/General/Open-World,48.0,6.0,T,DS,1 Player
96,Sonic Adventure,42.29,,"Sep 15, 2010",Sonic Team,Action/Platformer/Platformer/3D/3D,48.0,7.6,E,X360,-
97,Summer Athletics: The Ultimate Challenge,1.96,0.03,"Jul 29, 2008",49Games,Sports/Olympic Sports/Olympic Sports/Individual/Athletics,48.0,-,E,X360,1-4
98,Out of Ammo,60.04,,"Jan 30, 2018",RocketWerkz,Action/Shooter/First-Person/Arcade,48.0,7.3,T,PS4,Up to 4
99,Syberia 3,25.26,,"Apr 25, 2017",Microids,Adventure/3D/Third-Person,48.0,5.9,T,PS4,-
100,Star Wars The Clone Wars: Republic Heroes,17.75,0.8,"Oct  6, 2009",Krome Studios,Action Adventure/Sci-Fi/Sci-Fi/General,48.0,5.8,T,Wii,No Online Multiplayer
101,Michael Phelps: Push the Limit,9.2,0.11,"Oct 11, 2011",Blitz Games,Sports/Olympic Sports/Olympic Sports/Individual/Athletics,48.0,4.1,E,X360,Up to 4
102,Disney's Hide and Sneak,,,"Nov 30, 2003",Capcom,Action/General,48.0,-,E,GameCube,1 Player
103,Midway's Greatest Arcade Hits,,,"Nov 22, 2001",Midway,Miscellaneous/Compilation,48.0,-,E,Game Boy Advance,-
104,Real War,,,"Sep 24, 2001",Rival Interactive,Strategy/Real-Time/General/General,48.0,6.3,T,PC,1-4
105,Amazons & Aliens,,,"Sep 30, 2000",JoWooD Entertainment AG,Strategy/General/General,48.0,5.2,T,PC,1-3
106,World Series Baseball 2K1,,,"Jul 17, 2000",Wow Entertainment,Sports/Traditional/Baseball/Sim,48.0,7.2,E,Dreamcast,-
107,Deadliest Catch: Sea of Chaos,18.4,0.08,"Nov 29, 2010",Crave,Sports/Driving/General/Individual/Nature/Fishing/Fishing,48.0,-,E10+,PS3,-
108,Sprung,,,"Dec  8, 2004",Ubisoft,Simulation/Adventure/First-Person/Virtual/Modern/Modern/Virtual Life,48.0,5.8,T,DS,1 Player
109,Mass Effect: Pinnacle Station,13.0,,"Aug 20, 2009",Demiurge Studios,Role-Playing/Action RPG/Console-style RPG/Japanese-Style/Western-Style,48.0,4.0,M,X360,-
110,Driver: Renegade,47.65,0.09,"Sep  6, 2011",Ubisoft,Driving/Racing/Mission-based/Arcade/Mission-based/Automobile,48.0,5.2,M,3DS,-
111,Beat Down: Fists of Vengeance,,0.17,"Aug 23, 2005",Cavia Inc.,Action/Beat-'Em-Up,48.0,8.3,M,PS2,1-2
112,Grotesque Tactics 2: Dungeons & Donuts,25.0,,"Nov 21, 2011",Silent Dreams,Strategy/Turn-Based/Modern/General/Tactics,48.0,6.5,RP,PC,-
113,I Saw Black Clouds,None,,"Mar 30, 2021",Ghost Dog Films,Adventure/General,48.0,-,-,PS4,No Online Multiplayer
114,Vaccine,None,,"Feb 21, 2017","Rainy Night Creations, RNC",Action Adventure/Survival,48.0,-,M,XOne,-
115,Special Forces: Team X,None,,"Feb  6, 2013",Zombie Studios,Action/Shooter/General/Third-Person/Modern,48.0,6.9,M,PC,-
116,Strike Force Bowling,,,"May 10, 2004",Lab Rats Games,Sports/Alternative/Bowling,48.0,6.8,E,PS2,1-4
117,Pearl Harbor: Defend the Fleet,,,"May 15, 2001",Running Dog,Action/General/General,48.0,4.2,T,PC,1 Player
118,Power Spike Pro Beach Volleyball,,,"Nov 13, 2000",Carapace,Sports/Traditional/Volleyball,48.0,-,E,PlayStation,-
119,Call of Juarez: The Cartel,7.59,0.27,"Jul 19, 2011",Techland,Action/Shooter/Shooter/First-Person/Historic/Modern/Modern/Arcade,47.0,5.7,M,X360,-
120,Indianapolis 500 Legends,11.49,0.13,"Dec 14, 2007",Torus Games,Driving/Racing/Simulation/Formula One/Formula One/Automobile,47.0,6.7,E,Wii,-
121,Deep Black: Episode 1,None,,"Apr 25, 2012",Biart,Action/General/Shooter/Shooter/Third-Person/Modern/Modern/Arcade,47.0,5.4,M,X360,-
122,Frogger: Ancient Shadow,,,"Sep 28, 2005",Hudson Soft,Action/Platformer/3D,47.0,-,E,Xbox,1-4
123,PDC World Championship Darts 2008,7.81,,"Jun 16, 2009",Oxygen Interactive,Sports/Alternative/Other,47.0,-,E10+,PS2,-
124,Fantastic Four: Rise of the Silver Surfer,14.95,0.15,"Jun 15, 2007",Visual Concepts,Action/Action Adventure/General/General,47.0,5.6,T,PS3,No Online Multiplayer
125,Devil's Hunt,None,,"Sep 17, 2019",Layopi Games,Action Adventure/General,47.0,5.8,M,PC,No Online Multiplayer
126,Hexodius,None,,"Jun 21, 2013",Brain Slap Studio,Action/General/General,47.0,5.8,-,PC,-
127,G.I. Joe: The Rise of Cobra,11.0,0.14,"Aug  4, 2009",Backbone Entertainment,Action/General/General/Shooter/Third-Person/Arcade,47.0,7.5,E10+,DS,1-2
128,Mahjong Tales: Ancient Wisdom,22.37,,"Jan  8, 2009",Creat Studios,Miscellaneous/Puzzle/Puzzle/General/Puzzle/Board / Card Game/General,47.0,7.1,E,PS3,2  Online
129,Cocoro: Line Defender,49.95,,"Jun 26, 2014",Moving Player,Strategy/Real-Time/General/Defense,47.0,-,E10+,3DS,-
130,Dreamkiller,93.0,,"Oct 12, 2009",Mindware Studios,Action/Shooter/Shooter/First-Person/Fantasy/Fantasy/Arcade,47.0,5.4,M,PC,-
131,My Pokemon Ranch,None,,"Jun  9, 2008",Ambrella,Simulation/Miscellaneous/Virtual Life/Virtual/Virtual Life,47.0,5.4,E,Wii,Friend System Only
132,The Guy Game,,,"Aug 30, 2004",Top Heavy Studios,Miscellaneous/Trivia / Game Show,47.0,6.0,M,Xbox,1-4
133,Smashing Drive,,,"Feb 18, 2002",Point of View,Driving/Racing/Arcade,47.0,5.2,T,GameCube,1-2
134,MTV Sports: T.J. Lavin's Ultimate BMX,,,"Mar 27, 2001",Blue Shift,Sports/Alternative/Biking,47.0,-,T,PlayStation,-
135,Alone in the Dark,63.44,0.06,"Jun 23, 2008",Hydravision,Action Adventure/Horror,47.0,4.9,M,PS2,1 Player
136,Legendary,None,0.26,"Nov  4, 2008",Spark Unlimited,Action/Shooter/Shooter/First-Person/Fantasy/Fantasy/Arcade,47.0,7.0,M,X360,8  Online
137,Tom Clancy's HAWX 2,10.0,0.1,"Nov  9, 2010",Ubisoft,Action/Simulation/Flight/Flight/Combat,47.0,8.5,T,Wii,-
138,Solarix,None,,"Apr 30, 2015",Pulsetense Games,Action/General,47.0,4.1,-,PC,No Online Multiplayer
139,Saw II: Flesh & Blood,39.15,0.15,"Oct 19, 2010",Zombie Studios,Action Adventure/Horror/Horror/Survival,47.0,5.3,M,X360,-
140,The Ant Bully,8.85,,"Jul 24, 2006",Artificial Mind and Movement,Action/Platformer/Platformer/3D/3D,47.0,3.4,E10+,PC,1 Player
141,Catwoman,,,"Jul 20, 2004",Argonaut Games,Action Adventure/Modern,47.0,5.3,T,GameCube,1 Player
142,Pac-Man Fever,,,"Sep  2, 2002",Mass Media,Miscellaneous/Party,47.0,6.0,E,PS2,1-4
143,Monster Jam: Maximum Destruction,,,"Jun 13, 2002",Ubisoft,Driving/Racing/Truck,47.0,6.2,T,PS2,1-2
144,The Weakest Link,,,"Oct  2, 2001","Activision, Traveller's Tales",Miscellaneous/Trivia / Game Show/Trivia / Game Show,47.0,-,E,PC,-
145,Hellboy: The Science of Evil,18.8,0.18,"Jun 24, 2008",Krome Studios,Action/Action Adventure/Beat-'Em-Up/Beat-'Em-Up/Linear,47.0,5.5,T,PS3,2
146,MLB Front Office Manager,11.74,0.07,"Jan 26, 2009",Blue Castle Games,Sports/Traditional/Team/Baseball/Management/Management/Sim,47.0,4.6,E,X360,Up to 30
147,World Racing 2,6.99,,"Aug 15, 2006",Synetic,Driving/Racing/GT / Street,47.0,-,E,Xbox,1-4
148,What's Cooking with Jamie Oliver,7.15,,"Oct 21, 2008",Keen Games,Simulation/General/General/Virtual/Career,47.0,-,E,DS,-
149,Jake Hunter: Detective Chronicles,None,0.02,"Jun 11, 2008",WorkJam,Adventure/General/General,47.0,-,T,DS,-
150,Tony Hawk Ride,31.65,0.94,"Nov 17, 2009",Buzz Monkey,Sports/Alternative/Individual/Skateboarding/Skateboarding/Skate / Skateboard,47.0,4.3,E10+,Wii,-
151,Submerged,None,0.11,"Aug  3, 2015","Uppercut Games, Uppercut Games Pty Ltd",Fantasy/Action Adventure/General,47.0,5.1,-,PC,No Online Multiplayer
152,Venetica,36.31,0.12,"Jan 10, 2011",Deck 13,Role-Playing/Third-Person/Third-Person/General,47.0,7.1,T,PS3,No Online Multiplayer
153,Rebels: Prison Escape,,,"Aug 26, 2003",Philoslabs,Strategy/Real-Time/Modern/Modern,47.0,-,T,PC,1 Player
154,Loons - The Fight for Fame,,,"Sep 15, 2002",Warthog,Action/Beat-'Em-Up,47.0,2.3,E,Xbox,1-4
155,The Scorpion King: Rise of the Akkadian,,,"Sep 10, 2002",VU Games,Action/Beat-'Em-Up,47.0,7.3,T,PS2,1 Player
156,Ice Age,,,"Mar 18, 2002",Artificial Mind and Movement,Action/Platformer/2D,47.0,5.3,E,Game Boy Advance,1 Player
157,Decay of Logos,None,,"Aug 27, 2019",Amplify Creations,Role-Playing/Action RPG,47.0,5.2,T,PS4,No Online Multiplayer
158,Mage Knight: Apocalypse,15.37,0.0,"Sep 26, 2006",InterServ International,Role-Playing/Action RPG/Action RPG,47.0,5.7,T,PC,5  Online
159,Iron Man,18.56,0.54,"May  2, 2008",Artificial Mind and Movement,Action/General,47.0,5.6,T,PS2,1 Player
160,Herbie: Fully Loaded,,,"Jul 12, 2005",Buena Vista Interactive,Driving/Racing/Formula One,47.0,7.5,E,Game Boy Advance,1 Player
161,Extinction,37.68,0.06,"Apr 10, 2018",Iron Galaxy Studios,Action Adventure/General,47.0,1.5,M,PS4,No Online Multiplayer
162,Stronghold 3,None,0.19,"Oct 24, 2011",FireFly Studios,Strategy/Real-Time/Historic/General/Historic,47.0,3.0,T,PC,1-8
163,Risen 2: Dark Waters,8.89,0.23,"Jul 31, 2012",Piranha Bytes,Role-Playing/General/General,47.0,4.9,M,PS3,-
164,Rush'N Attack Ex-Patriot,None,,"Mar 29, 2011",Vatra,Action/Platformer/Platformer/2D/2D,47.0,7.8,M,PS3,-
165,Supremacy MMA,11.29,0.13,"Sep 20, 2011",Kung Fu Factory,Action/Sports/Fighting/Fighting/Individual/3D/3D/Combat/Boxing / Martial Arts,47.0,5.6,M,PS3,2
166,Naughty Bear: Panic in Paradise,24.98,,"Oct  9, 2012",Behaviour Interactive,Action/General/General,47.0,8.1,T,X360,-
167,Predator: Concrete Jungle,,0.2,"Apr 26, 2005",Eurocom Entertainment Software,Action Adventure/Sci-Fi,47.0,8.7,M,PS2,1 Player
168,Terminator: Resistance,22.46,,"Dec 10, 2019",Teyon,Action/Shooter/First-Person/Arcade,47.0,7.4,M,PS4,No Online Multiplayer
169,Wing Island,21.84,0.05,"Mar 20, 2007",CAProduction,Simulation/General/General,47.0,4.9,E,Wii,No Online Multiplayer
170,Monster Jam Steel Titans,27.23,,"Jun 25, 2019",Rainbow Studios,Racing/Arcade/Automobile,47.0,4.0,E,XOne,No Online Multiplayer
171,Soul Axiom,None,,"Jun  7, 2016",Wales Interactive,Adventure/3D/First-Person,47.0,4.8,T,PS4,-
172,Hole in the Wall,8.99,0.11,"Aug 24, 2011",Virtuos,Miscellaneous/Party/Trivia / Game Show/Party/Party / Minigame,47.0,3.9,E,X360,No Online Multiplayer
173,Monsters vs. Aliens,11.31,0.51,"Mar 24, 2009",Griptonite Games,Action Adventure/Sci-Fi/Sci-Fi/General,47.0,-,E,DS,-
174,Death Jr. and the Science Fair of Doom,18.87,0.08,"May 22, 2007",Foundation 9 Entertainment,Action/Platformer/Platformer/3D/3D,47.0,7.6,E10+,DS,1-4
175,"Warhammer 40,000: Fire Warrior",,,"Nov 17, 2003",Kuju Entertainment,Action/Shooter/Shooter/First-Person/Sci-Fi/Sci-Fi/Arcade,47.0,6.9,M,PC,1-8
176,Monster 4X4: World Circuit,12.32,,"Mar 23, 2006",Ubisoft,Driving/Racing/Rally / Offroad,47.0,-,E,Xbox,1-4
177,Red Ninja: End of Honor,,0.04,"Mar 30, 2005",Opus,Action Adventure/Historic,47.0,4.9,M,PS2,1 Player
178,Tactical Intervention,None,,"Mar 28, 2013","FIX Korea, Co. LTD",Third-Person/Tactical/Modern/Action/Shooter/Shooter/First-Person/Modern/Modern/Arcade,47.0,5.9,-,PC,-
179,Bee Simulator,21.06,,"Nov 12, 2019",Varsav Game Studios,Simulation/General,47.0,6.5,E,PS4,No Online Multiplayer
180,Teenage Mutant Ninja Turtles 2: Battle Nexus,,,"Oct 19, 2004",KCE Studios,Action/Beat-'Em-Up,47.0,6.8,T,PS2,1-4
181,Championship Surfer,,,"Nov 19, 2000",Krome Studios,Sports/Alternative/Individual/Surfing/Surfing/Surf / Wakeboard,47.0,-,E,PC,1-8
182,Thunderbirds,,,"Aug 10, 2004",Saffire,Action Adventure/Modern,47.0,-,E,Game Boy Advance,1 Player
